name,industry,subVertical,city,totalRaisedUSD,fundingRounds,firstFunded,lastFunded
FarEye,Consumer Internet & Tech,Logistics Management Software,Delhi,3500000.0,1,2016-06-23,2016-06-23
FarMart,Consumer Internet & Tech,Farming rental equipment provider,Gurgaon,0.0,1,2017-03-17,2017-03-17
Farm Taaza,Consumer Internet & Tech,Fresh Produce SCM company,Bangalore,8000000.0,1,2017-10-06,2017-10-06
FarmLink,E-Commerce,Online platform for Agricultural products,Mumbai,3000000.0,1,2017-11-08,2017-11-08
Farmizen,Consumer Internet & Tech,Agre-Tech Mobile app,Bangalore,0.0,1,2017-09-08,2017-09-08
Fashalot,Consumer Internet & Tech,O2O fashion discovery platform,Gurgaon,0.0,2,2016-04-20,2017-09-27
Fashionablyin,Consumer Internet & Tech,Mobile based Geo-target Fashion Marketplace,Mumbai,0.0,1,2016-01-11,2016-01-11
Fashionove,Fashion & Lifestyle,,Kolkata,0.0,1,2015-08-19,2015-08-19
Fashor,Fashion & Lifestyle,Embroiled Clothes For Women,Mumbai,1800000.0,1,2020-01-02,2020-01-02
FastFox,Consumer Internet & Tech,Online rental discovery platform,Gurgaon,4600000.0,1,2017-04-08,2017-04-08
Fastudent,E-Commerce,Education eCommerce platform,Noida,0.0,2,2015-11-27,2016-09-29
FeetApart,Consumer Internet & Tech,Employee engagements & Rewards platform,Bangalore,0.0,1,2016-02-24,2016-02-24
FiTraQ,Consumer Internet & Tech,Fitness Centre Discovery Platform,Delhi,0.0,1,2017-06-28,2017-06-28
Fieldassist,Consumer Internet & Tech,SAAS based sales force automation services,Gurgaon,0.0,1,2017-08-29,2017-08-29
Finance Buddha,Consumer Internet & Tech,Online Loan Comparison & Discovery platform,Bangalore,0.0,1,2016-02-19,2016-02-19
Fincash,Fintech,Fin-Tech,Mumbai,250000.0,2,2017-06-16,2018-02-16
Find My Stay,Consumer Internet & Tech,Online Budget Hotel Aggregator & Booking Platform,Delhi,0.0,1,2016-07-12,2016-07-12
FindUrClass,Consumer Internet & Tech,Hobby & Activity Class Aggregator,Mumbai,0.0,1,2016-01-30,2016-01-30
FindYahan,E-Commerce,,Delhi,0.0,2,2015-02-11,2015-04-22
FindmeaShoe,Consumer Internet & Tech,Footwear Recommendation App,Bangalore,0.0,1,2016-10-06,2016-10-06
Findow,Consumer Internet & Tech,Fashion Discovery Mobile app,Bangalore,0.0,1,2016-09-13,2016-09-13
Findyahan,Logistics & Transport,,Noida,0.0,1,2015-11-03,2015-11-03
Fingerlix,Consumer Internet & Tech,Ready To cook Food Solution,Mumbai,11310000.0,3,2017-04-05,2018-03-19
Finomena,Consumer Internet & Tech,Credit Worthiness Big Data Analytics,Delhi,0.0,1,2016-03-08,2016-03-08
Finova Capital,Consumer Internet & Tech,Online Lending,Jaipur,6000000.0,1,2018-03-05,2018-03-05
Fintellix,Fintech,,Bangalore,15000000.0,1,2015-05-05,2015-05-05
Fintobox,Consumer Internet & Tech,Child Learning & Development Platform,Chennai,7000000.0,1,2017-12-06,2017-12-06
Finzy,Fintech,Online Loan Matchmaking Platform,Bangalore,2300000.0,2,2018-04-02,2018-08-20
First Eat,Consumer Internet & Tech,Healthy Food Delivery platform,Delhi,100000.0,1,2016-02-22,2016-02-22
First Moms Club,Consumer Internet & Tech,Social Network for Mothers,Mumbai,0.0,1,2016-09-23,2016-09-23
FirstCry,E-Commerce,Kids Focused eTailer,Pune,26000000.0,2,2015-02-02,2016-01-21
FirstCry.com,E-Commerce,,Pune,10000000.0,1,2015-04-08,2015-04-08
FirstTouch,Other,,Gurgaon,0.0,1,2015-09-30,2015-09-30
Fisdom,Fintech,Mutual Fund Investment App,Bangalore,4600000.0,3,2016-01-21,2017-11-08
FitMeIn,Other,,Delhi,100000.0,1,2015-09-11,2015-09-11
Fitcircle,Social & Community,,Mumbai,0.0,1,2015-12-03,2015-12-03
Fitmein,Consumer Internet & Tech,Fitness Discovery & Booking platform,Delhi,0.0,1,2016-12-14,2016-12-14
Fitnapp,Consumer Internet & Tech,Fitness Mobile App,Noida,0.0,1,2017-01-19,2017-01-19
Fitpass,Consumer Internet & Tech,Online Fitness Marketplace,Delhi,2000000.0,2,2016-12-14,2017-06-29
Fitraq.com,,,,150000.0,1,2015-03-11,2015-03-11
Fitso,Consumer Internet & Tech,Fitness Mobile App,Gurgaon,400000.0,2,2016-01-15,2017-03-16
Fitternity,Consumer Internet & Tech,Online Fitness Discovey Platform,Mumbai,3000000.0,3,2015-07-23,2018-04-02
Five Star Group,Fintech,Non-Bank Lending Platform For SME,Chennai,100000000.0,1,2018-07-31,2018-07-31
FixNix,Consumer Internet & Tech,GRC SAAS Platform,Chennai,500000.0,1,2016-03-29,2016-03-29
Fixy,Other,,Mumbai,0.0,1,2015-08-17,2015-08-17
Flashdoor,Other,,Bangalore,0.0,1,2015-11-13,2015-11-13
FlatFurnish,Consumer Internet & Tech,Online Furnishing Rental Platform,Gurgaon,0.0,1,2016-01-08,2016-01-08
Flatchat,Real Estate & PropTech,,Bangalore,2500000.0,1,2015-06-30,2015-06-30
Flatpebble,E-Commerce,,Hyderabad,600000.0,1,2015-08-20,2015-08-20
FleetRover,Logistics & Transport,,Goa,180000.0,1,2015-05-27,2015-05-27
FleetX,Other,Logistics,Gurgaon,0.0,1,2019-02-01,2019-02-01
Flexiloans,Consumer Internet & Tech,Online Funds Raising Platform,Mumbai,15000000.0,1,2016-10-07,2016-10-07
Flexing It,E-Commerce,,Delhi,500000.0,1,2015-10-26,2015-10-26
FlickBay,Consumer Internet & Tech,Mobile Based Bollywood Discovery platform,Mumbai,890000.0,1,2016-08-03,2016-08-03
Flickstree,Consumer Internet & Tech,Video Content Discovery Platform,Mumbai,464000.0,1,2017-07-11,2017-07-11
FlipClass,Consumer Internet & Tech,Tutor Search Platform,Bangalore,1000000.0,1,2016-03-15,2016-03-15
Flipkart,E-Commerce,Online Marketplace,Bangalore,4059700000.0,5,2015-06-04,2017-08-11
Flipkart.com,E-Commerce,,Bangalore,700000000.0,1,2015-07-28,2015-07-28
Flixy Games,Consumer Internet & Tech,Mobile Game Publisher for Indian audience,Bangalore,425000.0,1,2016-09-22,2016-09-22
Flocareer,Consumer Internet & Tech,Jobs & Skill Validation platform,Bangalore,150000.0,1,2016-09-14,2016-09-14
Flochat,Consumer Internet & Tech,instant messaging platform,Mumbai,0.0,1,2017-08-22,2017-08-22
Flutura,Consumer Internet & Tech,Decision Sciences Analytics Solutions,Bangalore,7500000.0,1,2017-02-13,2017-02-13
Flyrobe,E-Commerce,Online fashion rental platform,Mumbai,7000000.0,2,2016-07-05,2016-08-31
Flytxt,Consumer Internet & Tech,Customer data analytics software,Mumbai,22000000.0,2,2015-07-08,2017-04-26
Focus Digit,E-Commerce,,Delhi,0.0,1,2015-12-18,2015-12-18
FoodAbhi,Food & Beverage,,Mumbai,0.0,1,2015-06-16,2015-06-16
FoodTalkIndia,Food & Beverage,,Gurgaon,500000.0,1,2015-08-26,2015-08-26
Foodmemories,Consumer Internet & Tech,Online Food Marketplace,Ahmedabad,0.0,1,2018-02-06,2018-02-06
Foodpanda,Food & Beverage,,Gurgaon,210000000.0,2,2015-03-13,2015-05-01
ForeverShop,Consumer Internet & Tech,Mobile based ecommerce platform,Bangalore,300000.0,1,2017-06-20,2017-06-20
Formcept,Consumer Internet & Tech,Unified Data Analysis platform,Bangalore,0.0,1,2017-06-27,2017-06-27
Fourseven,E-Commerce,,Delhi,455000.0,1,2015-11-19,2015-11-19
Fourth Ambit,Consumer Internet & Tech,Community Building platform,Bangalore,600000.0,1,2017-05-10,2017-05-10
Fourth Partner Energy,CleanTech & Energy,,Hyderabad,2000000.0,1,2015-09-24,2015-09-24
Foyr.com,Consumer Internet & Tech,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,3800000.0,1,2017-12-27,2017-12-27
Fracktal Works,Consumer Internet & Tech,Platform based on 3D printing and Digital Manufacturing,Bangalore,3000000.0,2,2015-06-18,2017-12-12
Fractal Analytics,Consumer Internet & Tech,Data Analytics Company,Mumbai,100000000.0,1,2016-05-11,2016-05-11
Frankly,,,,600000.0,1,2015-01-06,2015-01-06
Frapperz,Consumer Internet & Tech,On-demand home services provider,Kolkata,100000.0,1,2017-03-15,2017-03-15
FreeCharge,Consumer Internet & Tech,Mobile Wallet,Mumbai,137000000.0,2,2015-02-06,2017-01-07
Freedom Smart Labs,Consumer Internet & Tech,IoT retail solutions,Delhi,145000.0,1,2016-02-26,2016-02-26
Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,Delhi,2000000.0,1,2016-12-12,2016-12-12
FreshBoxx,E-Commerce,Online Grocery Store,Bangalore,0.0,1,2017-11-02,2017-11-02
FreshDesk,Consumer Internet & Tech,SAAS Based HelpDesk Services,Chennai,55000000.0,1,2016-11-02,2016-11-02
FreshMenu,Consumer Internet & Tech,Online / Mobile Food Ordering platform,Bangalore,33500000.0,2,2016-01-11,2016-01-29
FreshVnF,AgriTech,Fresh Agriculture Produces,Mumbai,140000000.0,1,2019-05-28,2019-05-28
FreshWorld,,,,0.0,1,2015-02-26,2015-02-26
Freshboxx,E-Commerce,Fruits & vegetable eTailer,Hubli,0.0,1,2016-09-10,2016-09-10
Freshdesk,Other,,Chennai,50000000.0,1,2015-04-20,2015-04-20
Freshee,Food & Beverage,Household packaging & Storage product manufacturer,Mumbai,0.0,1,2016-06-10,2016-06-10
Freshmonk,,,,0.0,1,2015-01-22,2015-01-22
Freshworks,SaaS & Enterprise Tech,Business and customer engagement tools,San Francisco,150000000.0,1,2019-11-13,2019-11-13
Front Desk AI,Consumer Internet & Tech,An AI Platform Offering Automated Customer Service Software,Bangalore,1100000.0,1,2018-06-28,2018-06-28
FroyoFit,Consumer Internet & Tech,Fitness Discovery Platform,Indore,0.0,1,2016-11-24,2016-11-24
Frsh,Food & Beverage,,Gurgaon,1000000.0,1,2015-10-23,2015-10-23
Frsh.co.in,,,,518000.0,1,2015-02-03,2015-02-03
Ftcash,Consumer Internet & Tech,Mobile Payments platform,Mumbai,0.0,1,2017-06-06,2017-06-06
Fulfil.IO,Consumer Internet & Tech,Cloud Based ERP Software,,0.0,1,2016-07-04,2016-07-04
FunOnGo,Consumer Internet & Tech,Digital Media Content and Distribution platform,Mumbai,0.0,1,2016-11-25,2016-11-25
Funcart,E-Commerce,Party Supplies Etailer,Delhi,70000.0,1,2016-02-25,2016-02-25
Funcastic,Consumer Internet & Tech,B2C vernacular podcast aggregator platform,Delhi,0.0,1,2016-08-12,2016-08-12
Fundamentor,Edtech,Aptitude Development Program,Pune,0.0,1,2016-05-18,2016-05-18
FundsIndia.com,Fintech,,Chennai,11000000.0,1,2015-06-19,2015-06-19
Furdo,Real Estate & PropTech,,Bangalore,400000.0,1,2015-09-22,2015-09-22
Furlenco,Consumer Internet & Tech,Furniture Rental Platform,Bangalore,42200000.0,4,2015-03-24,2017-12-11
Furtados School of Music,Edtech,Music Education,Tulangan,200000000.0,1,2019-11-19,2019-11-19
Fusion Microfinance,Fintech,,Delhi,8600000.0,1,2015-06-25,2015-06-25
Fxkart.com,,,,2000000.0,1,2015-03-25,2015-03-25
Fyle,Consumer Internet & Tech,Expense Management Solution,Bangalore,400000.0,1,2017-02-13,2017-02-13
Fyle Technologies,Consumer Internet & Tech,AI Based Expense Management Platform,Bangalore,1100000.0,1,2018-04-19,2018-04-19
Fynd,Consumer Internet & Tech,O2O fashion ecommerce platform,Mumbai,3400000.0,4,2017-03-28,2018-03-29
GIBBS,CleanTech & Energy,,Delhi,0.0,1,2015-04-27,2015-04-27
GIBSS,CleanTech & Energy,,Mumbai,0.0,1,2015-08-07,2015-08-07
GOQii,Healthtech,Wearable Fitness Bands,Menlo Park,450000000.0,3,2016-02-09,2019-09-04
Gaana,Consumer Internet & Tech,Online Music Streaming,Gurgaon,115000000.0,1,2018-02-28,2018-02-28
Gaana.com,Media & Entertainment,,Mumbai,0.0,1,2015-10-14,2015-10-14
Gadgets 360,E-Commerce,,Delhi,0.0,1,2015-08-17,2015-08-17
Gadgetwood,Consumer Internet & Tech,On-Demand Gadget repair services platform,Delhi,6200000.0,2,2015-04-09,2016-09-22
Gajty,Healthtech,Salons & Spa Chain,Gurgaon,0.0,1,2016-01-22,2016-01-22
Galleri5,Consumer Internet & Tech,Visual Content Discovery platform,Bangalore,0.0,1,2016-05-12,2016-05-12
GameXS.in,E-Commerce,,Delhi,0.0,1,2015-09-22,2015-09-22
GameZop,Consumer Internet & Tech,Mobile Gaming Platform,Delhi,350000.0,1,2016-02-17,2016-02-17
Gameezop,Consumer Internet & Tech,Casual Gaming platform,Delhi,0.0,1,2016-01-19,2016-01-19
Gaming Monk,Consumer Internet & Tech,E-sports platform,Delhi,0.0,1,2017-09-21,2017-09-21
Gamooz,Consumer Internet & Tech,Augmented Reality Solutions,Gurgaon,22500.0,1,2016-02-02,2016-02-02
Gapoon,Consumer Internet & Tech,home maintenance services platform,Bangalore,430000.0,2,2016-03-16,2017-10-13
Garage On Road,E-Commerce,Online vehicle service booking platform,Noida,0.0,1,2017-12-27,2017-12-27
GenNext Students,Consumer Internet & Tech,Online Tutoring Services,Mumbai,580000.0,1,2017-05-24,2017-05-24
Genextstudents,Consumer Internet & Tech,Online Tutoring Service provider,Mumbai,209000.0,1,2016-08-11,2016-08-11
Genie,Consumer Internet & Tech,hyperlocal delivery and logistics mobile app,Chennai,250000.0,1,2017-05-17,2017-05-17
Genius Corner,Edtech,Personalized Learning,Noida,278000.0,1,2018-11-21,2018-11-21
Get My Parking,Consumer Internet & Tech,Smart Parking Enabler,Delhi,4476000.0,3,2016-05-01,2017-09-12
Get Simpl,Consumer Internet & Tech,Payment Solution Mobile app,Mumbai,0.0,1,2017-08-17,2017-08-17
GetFocus,Other,,Mumbai,0.0,1,2015-12-11,2015-12-11
GetMyPeon,Logistics & Transport,,Mumbai,250000.0,1,2015-06-26,2015-06-26
GetVee,Consumer Internet & Tech,Matrimony & Couples only mobile platform,Delhi,0.0,1,2016-02-18,2016-02-18
Giftxoxo,E-Commerce,Online Gifting platform,Bangalore,450000.0,1,2016-10-04,2016-10-04
GigIndia,Consumer Internet & Tech,Micro Jobs Provider For Students,Pune,0.0,1,2018-03-21,2018-03-21
Gingercrush,E-Commerce,Personalized Products & Merchandize eTailer,Vadodara,2000000.0,3,2015-07-03,2016-02-05
Girnar Software,Consumer Internet & Tech,Online News Media Network,Jaipur,0.0,1,2016-03-21,2016-03-21
Glam Studios,Consumer Internet & Tech,Beauty Salon Aggregator,Noida,300000.0,1,2016-09-12,2016-09-12
GlamStudios,Consumer Internet & Tech,Online Salon Aggregator,Noida,0.0,1,2016-02-10,2016-02-10
Glamrs,Media & Entertainment,,Mumbai,1000000.0,1,2015-06-01,2015-06-01
Glassic,E-Commerce,Eyewear,Bangalore,0.0,1,2018-01-25,2018-01-25
GlowRoad,E-Commerce,Retail,Bangalore,11500000.0,1,2019-05-30,2019-05-30
Glowroad,Consumer Internet & Tech,women focussed customer-to-customer reseller network,Bangalore,2000000.0,1,2017-09-13,2017-09-13
Glowship,E-Commerce,,Bangalore,0.0,1,2015-08-03,2015-08-03
GoBumpr,Consumer Internet & Tech,Online Bike & Car Services provider,Chennai,300000.0,1,2017-02-14,2017-02-14
GoChoppers,Consumer Internet & Tech,Luxury Helicopter Tourism Services portal,Gurgaon,0.0,1,2017-09-27,2017-09-27
GoComet,Logistics & Transport,Marketplace for International Freight,Mumbai,0.0,1,2016-12-13,2016-12-13
GoDesi,Food & Beverage,Regional Flavours,Bangalore,138995.0,1,2018-11-01,2018-11-01
GoFro,Consumer Internet & Tech,Online travel booking platform,Delhi,10000000.0,1,2017-09-06,2017-09-06
GoFynd,E-Commerce,Fashion ecommerce portal,Mumbai,0.0,1,2017-01-03,2017-01-03
GoGo Truck,Consumer Internet & Tech,Truck Aggregator & Booking platform,Chennai,75000.0,1,2016-06-03,2016-06-03
GoJavas,Logistics & Transport,,Gurgaon,20000000.0,2,2015-03-18,2015-10-07
GoMechanic,Consumer Internet & Tech,Online Car servicing Booking platform,Gurgaon,250000.0,1,2016-12-08,2016-12-08
GoPigeon,Consumer Internet & Tech,on-demand logistics service provider,Bangalore,1500000.0,1,2016-09-15,2016-09-15
GoQii,Other,,Mumbai,13400000.0,1,2015-11-26,2015-11-26
GoYaNo,Consumer Internet & Tech,Events & Restaurant Discovery Marketplace App,Gurgaon,50000.0,1,2016-02-15,2016-02-15
GoZefo,E-Commerce,Used Furniture & Appliances Marketplace,Bangalore,1050000.0,1,2016-10-06,2016-10-06
Goalwise,Consumer Internet & Tech,Online investment platform,Bangalore,1000000.0,1,2016-05-24,2016-05-24
Gobolt,Logistics & Transport,B2B Logistics provider,Delhi,0.0,1,2016-06-14,2016-06-14
Godof Hospitals,Healthtech,,Delhi,2000000.0,1,2015-12-01,2015-12-01
GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,2000000.0,1,2017-10-30,2017-10-30
GolfLAN,Consumer Internet & Tech,Golf Session Online Bookings platform,Delhi,1000000.0,2,2015-03-17,2016-11-10
Gomalon,Consumer Internet & Tech,Online Spa & Salon discovery & Booking platform,Bangalore,100000.0,1,2016-06-27,2016-06-27
Good Methods Global,Consumer Internet & Tech,Cloud Based Practice Management Software,Trivandrum,0.0,1,2017-05-05,2017-05-05
Goodbox,E-Commerce,Mobile SAAS ECommerce platform for SMEs,Bangalore,3700000.0,3,2015-05-26,2017-06-16
Goodera,Consumer Internet & Tech,CSR and sustainability management platform,Bangalore,5500000.0,1,2017-06-13,2017-06-13
Goodservice,Other,,Delhi,1600000.0,1,2015-06-23,2015-06-23
Goomo,Consumer Internet & Tech,Online Travel & Holiday Booking platform,Mumbai,50000000.0,1,2017-06-05,2017-06-05
Goqii,E-Commerce,,Mumbai,0.0,1,2015-07-03,2015-07-03
Gozoomo,E-Commerce,,Bangalore,5000000.0,1,2015-07-02,2015-07-02
Grab,Logistics & Transport,,Mumbai,1000000.0,2,2015-04-27,2015-11-11
Grab.in,Logistics & Transport,hyperlocal logistics service,Mumbai,2000000.0,1,2016-07-04,2016-07-04
GrabOnRent,E-Commerce,On-demand product rental marketplace,Bangalore,0.0,1,2016-06-15,2016-06-15
Grabhouse,Real Estate & PropTech,,Bangalore,10000000.0,1,2015-10-08,2015-10-08
Grabhouse.com,,,,2500000.0,1,2015-01-28,2015-01-28
Gradopedia,Consumer Internet & Tech,Career progression Portal,Mumbai,0.0,1,2016-08-16,2016-08-16
GramCover,Fintech,Insurance Marketplace for the Rural Sector,Delhi,1000000.0,1,2016-11-18,2016-11-18
Gramophone,Consumer Internet & Tech,Agri-tech,Indore,1000000.0,1,2018-03-04,2018-03-04
GrandOpinion,Healthtech,,Delhi,150000.0,1,2015-05-08,2015-05-08
Graphene,,,,825000.0,1,2015-01-29,2015-01-29
Graphic India,,,,2800000.0,1,2015-03-19,2015-03-19
Gray Routes,Consumer Internet & Tech,Last mile logistics solutions,Mumbai,0.0,1,2016-02-08,2016-02-08
Greenlight Planet,Consumer Internet & Tech,Off-grid solar products platform,Mumbai,60000000.0,1,2017-12-06,2017-12-06
Grex,Other,,Pune,650000.0,1,2015-08-05,2015-08-05
Grey Campus,Consumer Internet & Tech,Online Learning Platform,Hyderabad,1000000.0,1,2016-06-08,2016-06-08
Grey Orange,Real Estate & PropTech,,Gurgaon,30000000.0,1,2015-08-10,2015-08-10
GreyAtom,Consumer Internet & Tech,Education,Mumbai,1000000.0,1,2018-01-25,2018-01-25
GreytHR,Consumer Internet & Tech,Payroll & HR Software Developer,Bangalore,5200000.0,1,2016-06-17,2016-06-17
Gridle,SaaS & Enterprise Tech,,Ahmedabad,100000.0,1,2015-10-12,2015-10-12
Grofers,E-Commerce,Grocery Delivery,Gurgaon,297000000.0,5,2015-02-27,2019-08-19
Groupon India,,,,20000000.0,1,2015-03-11,2015-03-11
Grover Zampa,Food & Beverage,Wine,Mumbai,8200000.0,1,2018-10-04,2018-10-04
Grow Fit,Consumer Internet & Tech,Health-Tech platform,Bangalore,4500000.0,1,2017-06-21,2017-06-21
GrowFitter,Consumer Internet & Tech,health and fitness discovery platform,Mumbai,600000.0,1,2017-06-07,2017-06-07
Groww,Consumer Internet & Tech,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,1100000.0,1,2018-07-09,2018-07-09
Guarented,E-Commerce,Home Furnishing rental marketplace,Bangalore,500000.0,1,2016-08-24,2016-08-24
Guiddoo,Travel & Hospitality,Platform for travel agents,Mumbai,800000.0,2,2015-06-10,2018-12-02
Guidoo,Consumer Internet & Tech,Travel & adventure planning platform,Mumbai,300000.0,1,2017-06-09,2017-06-09
GuruG Learning,Other,,Bangalore,0.0,1,2015-09-08,2015-09-08
Gurukul,Consumer Internet & Tech,co-working space provider,Delhi,0.0,1,2017-09-14,2017-09-14
Gyaanzone,Edtech,Career Planning and Education Advisory Platform,Mumbai,45000.0,1,2016-01-08,2016-01-08
GyanDhan,Consumer Internet & Tech,Education Marketplace,Delhi,0.0,2,2016-07-12,2017-06-06
GymTrekker,Other,,Mumbai,0.0,1,2015-10-14,2015-10-14
Gympik,Consumer Internet & Tech,"Fitness Centres, Gym Discovery online marketplace",Bangalore,135000.0,2,2015-01-05,2016-03-01
Gympik.com,Consumer Internet & Tech,online marketplace for discovering fitness centres,Bangalore,0.0,1,2017-07-28,2017-07-28
HEAL Institute,Healthtech,Sports Focused Healthcare Startup,Mumbai,0.0,1,2016-07-13,2016-07-13
HUG Innovations,Consumer Internet & Tech,Gesture based Smartwatch manufacturer,Hyderabad,5000000.0,1,2017-06-26,2017-06-26
HWell24,Healthtech,Home Healthcare Aggregator,Mumbai,200000.0,1,2018-05-28,2018-05-28
HWell24 Plus,Healthtech,Technology-Empowered Healthcare Solutions,Mumbai,0.0,1,2017-09-20,2017-09-20
HackerEarth,Consumer Internet & Tech,Online Skill Assessment Platform,Bangalore,4500000.0,1,2017-04-12,2017-04-12
HackerRank,HR & Recruitment,,Bangalore,7500000.0,1,2015-07-14,2015-07-14
HalaPlay,Consumer Internet & Tech,Online Fantasy Games,Mumbai,0.0,1,2017-11-03,2017-11-03
HandyHome,Logistics & Transport,,Mumbai,630000.0,1,,
HandyTrain,Consumer Internet & Tech,Mobile Learning Management Platform,Goa,2000000.0,2,2016-11-30,2017-12-05
Hansa Customer Equity,Other,,Mumbai,5000000.0,1,2015-06-18,2015-06-18
Hansel io,Consumer Internet & Tech,Real-time Mobile App Management,Bangalore,4000000.0,1,2018-08-08,2018-08-08
Hansel.io,Consumer Internet & Tech,Real-time Mobile App Management Platform,Bangalore,1350000.0,2,2016-02-08,2017-01-12
Happily Unmarried,E-Commerce,Online Gifting platform,Delhi,0.0,1,2017-11-10,2017-11-10
HappilyUnmarried,E-Commerce,Online Merchandize etailer,Delhi,740000.0,1,2016-07-06,2016-07-06
Happitoo,Other,,Mumbai,77000.0,1,2015-10-27,2015-10-27
Happy EMI,Fintech,Consumer Financing Platform,Bangalore,1000000.0,1,2018-08-09,2018-08-09
Happy2Refer,Consumer Internet & Tech,Mobile based Referral Platform,Mumbai,250000.0,1,2016-01-12,2016-01-12
HappyGoEasy,Consumer Internet & Tech,Online Travel Agecy,Gurgaon,0.0,1,2018-09-04,2018-09-04
Happydemic,Consumer Internet & Tech,Artist Discovery & Booking platform,Mumbai,0.0,1,2016-04-12,2016-04-12
Haptik,Consumer Internet & Tech,Personal Assistant App,Mumbai,0.0,1,2016-04-05,2016-04-05
Haqdarshak,Consumer Internet & Tech,Tech-Enabled Social Enterprise,Bangalore,191000.0,1,2017-03-22,2017-03-22
Harness Handitouch,,,,0.0,1,2015-03-20,2015-03-20
HashLearn,Consumer Internet & Tech,Mobile based private tutoring services,,0.0,1,2016-03-23,2016-03-23
HashTaag,Consumer Internet & Tech,Mobile App Development company,Bangalore,1000000.0,1,2016-09-22,2016-09-22
Hasura,Consumer Internet & Tech,App building platform,Chennai,0.0,1,2017-10-18,2017-10-18
HeadOut,E-Commerce,,Bangalore,1800000.0,1,2015-04-23,2015-04-23
Heads Up For Tails,E-Commerce,Online Pet Products Store,Delhi,3000000.0,2,2016-02-06,2017-01-31
Healers At Home,Healthtech,,Delhi,0.0,1,2015-11-21,2015-11-21
HealthAssure,Healthtech,Primary care medical network,Mumbai,2500000.0,1,2019-07-10,2019-07-10
HealthCare,Consumer Internet & Tech,Healthcare Aggregator,Mumbai,1000000.0,1,2018-03-12,2018-03-12
HealthEminds,Consumer Internet & Tech,Online mental healthcare,Bangalore,0.0,1,2016-03-29,2016-03-29
HealthEnablr,Consumer Internet & Tech,Doctor Discovery and booking platform,Mumbai,800000.0,1,2016-03-17,2016-03-17
HealthFin,Fintech,Patient Financing Platform,Pune,0.0,1,2018-08-01,2018-08-01
HealthIntel,Healthtech,Online Pharmacy,Delhi,0.0,1,2017-06-16,2017-06-16
HealthKart,E-Commerce,Online Pharmacy & Health Marketplace,Gurgaon,12000000.0,1,2016-08-01,2016-08-01
HealthKumbh,Consumer Internet & Tech,Health related Information portal,Ahmedabad,73000.0,1,2016-02-18,2016-02-18
HealthMir,Consumer Internet & Tech,AI-based health content platform,Delhi,0.0,1,2017-05-05,2017-05-05
HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,0.0,1,2017-05-19,2017-05-19
Healthbuds,Consumer Internet & Tech,Healthcare Discovery & booking platform,Kolkata,0.0,1,2017-06-06,2017-06-06
Healthcare at Home,Healthtech,Home Healthcare Provider,Noida,40000000.0,1,2017-04-03,2017-04-03
Healthi,Healthtech,Preventive Health Checkup,Bangalore,3100000.0,1,2018-02-06,2018-02-06
Healthians,Food & Beverage,Food Solutions For Corporate,Bangalore,27000000.0,4,2016-10-24,2019-12-17
Healthians.com,Healthtech,,Hyderabad,0.0,1,2015-06-23,2015-06-23
HealthifyMe,Healthtech,Wellness Coach,Bangalore,12000000.0,4,2015-05-08,2018-11-20
Healthifyme,Consumer Internet & Tech,Fitness Mobile App,Bangalore,1000000.0,1,2016-12-29,2016-12-29
Healthsignz,Healthtech,Health and Well being Platform,Hyderabad,5000000.0,1,2018-07-31,2018-07-31
HealthyWorld.in,,,,400000.0,2,2015-01-19,2015-01-20
Heckyl,Consumer Internet & Tech,Big Data Analytics Platform,Mumbai,2700000.0,1,2017-11-21,2017-11-21
Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,1500000.0,1,2016-03-18,2016-03-18
Hello Tax,Consumer Internet & Tech,Online Tax Filing Platform,Delhi,295000.0,1,2016-06-28,2016-06-28
HelpChat,Consumer Internet & Tech,AI Powered Content & Commerce platform,Bangalore,0.0,1,2016-10-03,2016-10-03
HelpShift,Consumer Internet & Tech,Mobile CRM Platform,Pune,23000000.0,1,2016-06-07,2016-06-07
Helpi,Consumer Internet & Tech,On Demand Cleaning Services Mobile App,Mumbai,0.0,1,2016-01-01,2016-01-01
Heterogenous,Consumer Internet & Tech,Telecom & IoT platform,Chennai,780000.0,1,2017-09-13,2017-09-13
Hevo Data,Consumer Internet & Tech,Real time data analytics & reporting,Bangalore,1000000.0,1,2017-11-04,2017-11-04
HeyBiz,E-Commerce,,Delhi,0.0,1,2015-12-08,2015-12-08
HeyPillow,E-Commerce,,Bangalore,3000000.0,1,2015-11-20,2015-11-20
HiJinny,E-Commerce,,Mumbai,0.0,1,2015-09-03,2015-09-03
High Radius,Consumer Internet & Tech,Integrated receivables software solutions,Hyderabad,50000000.0,1,2017-09-19,2017-09-19
HighRadius,Consumer Internet & Tech,Cloud-based Software,Hyderabad,0.0,1,2018-02-21,2018-02-21
Highway Delite,Consumer Internet & Tech,Various Highway Help Services,Bangalore,0.0,1,2016-04-04,2016-04-04
Hike,Consumer Internet & Tech,Mobile Messaging App,Delhi,175000000.0,1,2016-08-16,2016-08-16
